"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0016,0.0141"
"2.00,0.0014,0.0012"
"3.00,0.0013,-0.0010"
"4.00,0.0013,-0.0009"
"5.00,0.0013,-0.0009"
"6.00,0.0029,0.0810"
"7.00,0.0121,0.5351"
"8.00,0.0226,1.0319"
"9.00,0.0367,1.6839"
"10.00,0.0504,2.2870"
"11.00,0.0625,2.7781"
"12.00,0.0763,3.3264"
"13.00,0.0887,3.7818"
"14.00,0.1011,4.2145"
"15.00,0.1116,4.5274"
"16.00,0.1240,4.9228"
"17.00,0.1348,5.2166"
"18.00,0.1469,5.5613"
"19.00,0.1577,5.8231"
"20.00,0.1685,6.0720"
"21.00,0.1793,6.3083"
"22.00,0.1901,6.5329"
"23.00,0.2022,6.8116"
"24.00,0.2114,6.9292"
"25.00,0.2209,7.0573"
"26.00,0.2314,7.2281"
"27.00,0.2422,7.4066"
"28.00,0.2513,7.4944"
"29.00,0.2605,7.5779"
"30.00,0.2713,7.7389"
"31.00,0.2805,7.8102"
"32.00,0.2913,7.9596"
"33.00,0.3004,8.0198"
"34.00,0.3096,8.0769"
"35.00,0.3191,8.1476"
"36.00,0.3295,8.2639"
"37.00,0.3387,8.3088"
"38.00,0.3479,8.3515"
"39.00,0.3587,8.4739"
"40.00,0.3682,8.5247"
"41.00,0.3786,8.6221"
"42.00,0.3865,8.5837"
"43.00,0.3970,8.6781"
"44.00,0.4048,8.6369"
"45.00,0.4156,8.7450"
"46.00,0.4248,8.7659"
"47.00,0.4356,8.8676"
"48.00,0.4431,8.8006"
"49.00,0.4539,8.9005"
"50.00,0.4618,8.8482"
"51.00,0.4709,8.8639"
"52.00,0.4814,8.9444"
"53.00,0.4906,8.9553"
"54.00,0.5017,9.0639"
"55.00,0.5108,9.0688"
"56.00,0.5213,9.1390"
"57.00,0.5305,9.1402"
"58.00,0.5396,9.1413"
"59.00,0.5508,9.2406"
"60.00,0.5612,9.3022"
"61.00,0.5691,9.2298"
"62.00,0.5796,9.2919"
"63.00,0.5904,9.3673"
"64.00,0.5999,9.3734"
"65.00,0.6090,9.3629"
"66.00,0.6195,9.4184"
"67.00,0.6303,9.4874"
"68.00,0.6411,9.5530"
"69.00,0.6503,9.5335"
"70.00,0.6611,9.5968"
"71.00,0.6719,9.6569"
"72.00,0.6810,9.6323"
"73.00,0.6918,9.6906"
"74.00,0.7026,9.7460"
"75.00,0.7118,9.7169"
"76.00,0.7222,9.7546"
"77.00,0.7314,9.7251"
"78.00,0.7425,9.7952"
"79.00,0.7517,9.7636"
"80.00,0.7609,9.7335"
"81.00,0.7700,9.7050"
"82.00,0.7805,9.7434"
"83.00,0.7884,9.6489"
"84.00,0.7992,9.7064"
"85.00,0.8083,9.6792"
