"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0017,0.0012"
"2.00,-0.0016,0.0018"
"3.00,-0.0016,0.0024"
"4.00,-0.0016,0.0016"
"5.00,0.0092,0.5415"
"6.00,0.0258,1.3475"
"7.00,0.0488,2.4276"
"8.00,0.0749,3.6146"
"9.00,0.1011,4.7429"
"10.00,0.1273,5.8147"
"11.00,0.1532,6.8166"
"12.00,0.1810,7.8672"
"13.00,0.2072,8.7829"
"14.00,0.2346,9.7165"
"15.00,0.2346,9.2318"
"16.00,0.2596,10.0192"
"17.00,0.3116,10.8077"
"18.00,0.3378,11.5958"
"19.00,0.3650,12.2892"
"20.00,0.3927,13.0644"
"21.00,0.4208,13.7953"
"22.00,0.4462,14.4826"
"23.00,0.4745,15.0648"
"24.00,0.5006,15.6983"
"25.00,0.5280,16.2278"
"26.00,0.5543,16.7854"
"27.00,0.5814,17.2513"
"28.00,0.6097,17.7710"
"29.00,0.6367,18.2600"
"30.00,0.6633,18.7347"
"31.00,0.6923,19.1031"
"32.00,0.7178,19.5950"
"33.00,0.7445,19.9209"
"34.00,0.7719,20.2301"
"35.00,0.7993,20.5894"
"36.00,0.8270,20.9490"
"37.00,0.8535,21.2850"
"38.00,0.8805,21.5172"
"39.00,0.9088,21.8283"
"40.00,0.9331,22.1242"
"41.00,0.9606,22.2452"
"42.00,0.9878,22.4986"
"43.00,1.0148,22.7603"
"44.00,1.0402,22.9355"
"45.00,1.0685,23.0935"
"46.00,1.0926,23.3264"
"47.00,1.1200,23.3677"
"48.00,1.1461,23.5879"
"49.00,1.1742,23.7097"
"50.00,1.1999,23.9034"
"51.00,1.2262,24.0288"
"52.00,1.2522,24.1170"
"53.00,1.2784,24.2202"
"54.00,1.3046,24.3181"
"55.00,1.3304,24.4113"
"56.00,1.3563,24.4750"
"57.00,1.3846,24.5714"
"58.00,1.4084,24.7226"
"59.00,1.4337,24.7083"
"60.00,1.4591,24.7055"
"61.00,1.4841,24.7738"
"62.00,1.5086,24.7596"
"63.00,1.5346,24.7543"
"64.00,1.5606,24.8201"
"65.00,1.5864,24.8692"
"66.00,1.6124,24.9319"
"67.00,1.6359,24.9859"
"68.00,1.6613,24.8879"
"69.00,1.6866,24.9465"
"70.00,1.7108,24.9403"
"71.00,1.7356,24.9096"
"72.00,1.7618,24.9023"
"73.00,1.7873,24.9639"
"74.00,1.8110,25.0129"
"75.00,1.8352,24.9217"
"76.00,1.8616,24.8919"
"77.00,1.8839,24.9596"
"78.00,1.9092,24.8504"
"79.00,1.9333,24.8493"
"80.00,1.9597,24.8232"
"81.00,1.9837,24.8945"
"82.00,2.0090,24.8700"
"83.00,2.0328,24.8607"
"84.00,2.0580,24.8378"
"85.00,2.0819,24.8302"
"86.00,2.1055,24.8087"
"87.00,2.1297,24.7282"
"88.00,2.1561,24.7081"
"89.00,2.1804,24.7855"
"90.00,2.2047,24.7751"
"91.00,2.2299,24.7543"
"92.00,2.2540,24.7585"
"93.00,2.2788,24.7369"
"94.00,2.3048,24.7381"
"95.00,2.3279,24.7993"
"96.00,2.3538,24.7156"
"97.00,2.3786,24.7780"
"98.00,2.4026,24.7703"
"99.00,2.4278,24.7509"
"100.00,2.4533,24.7487"
"101.00,2.4782,24.8120"
"102.00,2.5041,24.7973"
"103.00,2.5288,24.8556"
"104.00,2.5548,24.8443"
"105.00,2.5797,24.9189"
"106.00,2.6035,24.8924"
"107.00,2.6301,24.8663"
"108.00,2.6545,24.9309"
"109.00,2.6807,24.9115"
"110.00,2.7068,24.9750"
"111.00,2.7327,25.0352"
"112.00,2.7586,25.0698"
"113.00,2.7836,25.1326"
"114.00,2.8090,25.0959"
"115.00,2.8359,25.1409"
"116.00,2.8614,25.2022"
"117.00,2.8879,25.2417"
"118.00,2.9138,25.2879"
"119.00,2.9413,25.3155"
"120.00,2.9672,25.4358"
"121.00,2.9936,25.4627"
"122.00,3.0195,25.4980"
"123.00,3.0472,25.5212"
"124.00,3.0734,25.6305"
"125.00,3.0996,25.6580"
"126.00,3.1271,25.6841"
"127.00,-3.1287,25.7798"
"128.00,-3.1025,25.8598"
"129.00,-3.0749,25.8759"
"130.00,-3.0485,25.9648"
"131.00,-3.0208,25.9782"
"132.00,-2.9949,26.0701"
"133.00,-2.9660,26.0565"
"134.00,-2.9398,26.2073"
"135.00,-2.9136,26.2005"
"136.00,-2.8861,26.1995"
"137.00,-2.8586,26.2694"
"138.00,-2.8322,26.3331"
"139.00,-2.8048,26.3282"
"140.00,-2.7758,26.3783"
"141.00,-2.7498,26.5236"
"142.00,-2.7217,26.4954"
"143.00,-2.6943,26.5671"
"144.00,-2.6668,26.6132"
"145.00,-2.6391,26.6570"
"146.00,-2.6114,26.7121"
"147.00,-2.5840,26.7513"
"148.00,-2.5574,26.7933"
"149.00,-2.5300,26.7765"
"150.00,-2.5024,26.8121"
"151.00,-2.4747,26.8514"
"152.00,-2.4470,26.8942"
"153.00,-2.4199,26.9349"
"154.00,-2.3922,26.9384"
"155.00,-2.3657,26.9847"
"156.00,-2.3383,26.9554"
"157.00,-2.3120,26.9790"
"158.00,-2.2846,26.9398"
"159.00,-2.2571,26.9696"
"160.00,-2.2312,26.9956"
"161.00,-2.2048,26.9385"
"162.00,-2.1768,26.9137"
"163.00,-2.1496,28.3289"
"164.00,-2.1232,28.2313"
"165.00,-2.0991,28.0241"
"166.00,-2.0711,28.0223"
"167.00,-2.0454,27.9074"
"168.00,-2.0191,27.8253"
"169.00,-1.9913,27.8228"
"170.00,-1.9655,27.7243"
"171.00,-1.9393,27.6450"
