"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.2840,-0.0187"
"2.00,0.2842,-0.0093"
"3.00,0.2840,-0.0173"
"4.00,0.2842,-0.0079"
"5.00,0.2840,-0.0160"
"6.00,0.2842,-0.0067"
"7.00,0.2933,0.4487"
"8.00,0.3042,0.9753"
"9.00,0.3291,1.5477"
"10.00,0.3420,2.0824"
"11.00,0.3560,2.6329"
"12.00,0.3713,3.1898"
"13.00,0.3839,3.8143"
"14.00,0.3976,4.2454"
"15.00,0.4114,4.7204"
"16.00,0.4255,5.1716"
"17.00,0.4396,5.6260"
"18.00,0.4531,6.0287"
"19.00,0.4686,6.4239"
"20.00,0.4810,6.8671"
"21.00,0.4943,7.1408"
"22.00,0.5086,7.4640"
"23.00,0.5209,7.7897"
"24.00,0.5360,8.0221"
"25.00,0.5480,8.3690"
"26.00,0.5635,8.5653"
"27.00,0.5774,8.8967"
"28.00,0.5914,9.1648"
"29.00,0.6033,9.3845"
"30.00,0.6175,9.5299"
"31.00,0.6311,9.7478"
"32.00,0.6450,9.9569"
"33.00,0.6587,10.1417"
"34.00,0.6723,10.3172"
"35.00,0.6863,10.4977"
"36.00,0.6982,10.6510"
"37.00,0.7141,10.7330"
"38.00,0.7260,10.9726"
"39.00,0.7416,11.0385"
"40.00,0.7555,11.2511"
"41.00,0.7676,11.3921"
"42.00,0.7814,11.4279"
"43.00,0.7950,11.5393"
"44.00,0.8093,11.6585"
"45.00,0.8212,11.7702"
"46.00,0.8368,11.7961"
"47.00,0.8491,11.9709"
"48.00,0.8641,11.9896"
"49.00,0.8763,12.1473"
"50.00,0.8888,12.1498"
"51.00,0.9028,12.1596"
"52.00,0.9166,12.2552"
"53.00,0.9316,12.3297"
"54.00,0.9440,12.4615"
"55.00,0.9579,12.4690"
"56.00,0.9698,12.5240"
"57.00,0.9854,12.5120"
"58.00,0.9976,12.6467"
"59.00,1.0102,12.6449"
"60.00,1.0252,12.6300"
"61.00,1.0359,12.7469"
"62.00,1.0517,12.6582"
"63.00,1.0653,12.8052"
"64.00,1.0787,12.8338"
"65.00,1.0929,12.8825"
"66.00,1.1068,12.9462"
"67.00,1.1203,12.9776"
"68.00,1.1328,13.0245"
"69.00,1.1452,12.9896"
"70.00,1.1586,12.9480"
"71.00,1.1724,12.9823"
"72.00,1.1852,13.0289"
"73.00,1.1988,13.0102"
"74.00,1.2106,13.0288"
"75.00,1.2249,12.9899"
"76.00,1.2385,13.0357"
"77.00,1.2524,13.0795"
"78.00,1.2643,13.1044"
"79.00,1.2786,13.0629"
"80.00,1.2922,13.1050"
"81.00,1.3048,13.1453"
"82.00,1.3184,13.1057"
"83.00,1.3309,13.1377"
"84.00,1.3446,13.1025"
"85.00,1.3567,13.1346"
"86.00,1.3708,13.0833"
"87.00,1.3829,13.1328"
"88.00,1.3966,13.0815"
"89.00,1.4103,13.1106"
"90.00,1.4229,13.1505"
"91.00,1.4365,13.1066"
"92.00,1.4504,13.1466"
"93.00,1.4640,13.1685"
"94.00,1.4766,13.2053"
"95.00,1.4885,13.1588"
"96.00,1.5027,13.1142"
"97.00,1.5147,13.1541"
"98.00,1.5273,13.1098"
"99.00,1.5393,13.0721"
"100.00,1.5534,13.0240"
"101.00,1.5655,13.0763"
"102.00,1.5776,13.0280"
"103.00,1.5913,12.9781"
"104.00,1.6054,13.0242"
"105.00,1.6177,13.0712"
"106.00,1.6311,13.0222"
"107.00,1.6454,13.0646"
"108.00,1.6557,13.1072"
"109.00,1.6696,12.9832"
"110.00,1.6816,13.0135"
"111.00,1.6958,12.9760"
"112.00,1.7078,13.0231"
"113.00,1.7220,12.9850"
"114.00,1.7324,13.0355"
"115.00,1.7465,12.9074"
"116.00,1.7601,12.9618"
"117.00,1.7726,13.0085"
"118.00,1.7849,12.9744"
"119.00,1.7984,12.9345"
"120.00,1.8105,12.9695"
"121.00,1.8248,12.9340"
"122.00,1.8384,12.9871"
"123.00,1.8505,13.0212"
"124.00,1.8648,12.9831"
"125.00,1.8750,13.0355"
"126.00,1.8891,12.9093"
"127.00,1.8999,12.9620"
"128.00,1.9133,12.8427"
"129.00,1.9262,12.8935"
"130.00,1.9386,12.8815"
"131.00,1.9521,12.8555"
"132.00,1.9656,12.8817"
"133.00,1.9781,12.9305"
"134.00,1.9918,12.8929"
"135.00,2.0043,12.9519"
"136.00,2.0160,12.9006"
"137.00,2.0303,12.8665"
"138.00,2.0438,12.9195"
"139.00,2.0548,12.9661"
"140.00,2.0669,12.8433"
"141.00,2.0812,12.8338"
"142.00,2.0932,12.8957"
"143.00,2.1054,12.8437"
"144.00,2.1194,12.8214"
"145.00,2.1330,12.8749"
"146.00,2.1469,12.9201"
"147.00,2.1592,12.9542"
"148.00,2.1701,12.9353"
"149.00,2.1839,12.8286"
"150.00,2.1970,12.8638"
"151.00,2.2096,12.8930"
"152.00,2.2224,12.8791"
"153.00,2.2360,12.8679"
"154.00,2.2497,12.9062"
"155.00,2.2621,12.9447"
"156.00,2.2728,12.9192"
"157.00,2.2863,13.4841"
"158.00,2.2993,13.4590"
"159.00,2.3128,13.4623"
"160.00,2.3267,13.4819"
"161.00,2.3387,13.4098"
"162.00,2.3513,13.3679"
"163.00,2.3645,13.3602"
"164.00,2.3789,13.4094"
"165.00,2.3907,13.3308"
"166.00,2.4033,13.2928"
"167.00,2.4171,13.3187"
"168.00,2.4291,13.2548"
"169.00,2.4431,13.2924"
"170.00,2.4553,13.2365"
"171.00,2.4690,13.2619"
"172.00,2.4828,13.2861"
"173.00,2.4969,13.3253"
"174.00,2.5106,13.3463"
"175.00,2.5227,13.2844"
"176.00,2.5352,13.2452"
"177.00,2.5488,13.2636"
"178.00,2.5614,13.2288"
"179.00,2.5747,13.2317"
"180.00,2.5888,13.2770"
"181.00,2.6009,13.2185"
"182.00,2.6163,13.3267"
"183.00,2.6287,13.2821"
"184.00,2.6425,13.3052"
"185.00,2.6546,13.2454"
"186.00,2.6683,13.2704"
"187.00,2.6825,13.3136"
"188.00,2.6961,13.3288"
"189.00,2.7100,13.3559"
"190.00,2.7240,13.3886"
"191.00,2.7361,13.3246"
"192.00,2.7498,13.3456"
"193.00,2.7599,13.1824"
"194.00,2.7734,13.1973"
"195.00,2.7882,13.2768"
"196.00,2.8034,13.3759"
"197.00,2.8176,13.4168"
"198.00,2.8313,13.4302"
"199.00,2.8434,13.3610"
"200.00,2.8585,13.4487"
"201.00,2.8709,13.3980"
"202.00,2.8847,13.4154"
"203.00,2.8984,13.4318"
"204.00,2.9125,13.4638"
"205.00,2.9246,13.3961"
"206.00,2.9383,13.4135"
"207.00,2.9521,13.4300"
"208.00,2.9645,13.3803"
"209.00,2.9799,13.4804"
"210.00,2.9920,13.4118"
"211.00,3.0090,13.5921"
"212.00,3.0211,13.5178"
"213.00,3.0349,13.5292"
"214.00,3.0489,13.5563"
"215.00,3.0610,13.4839"
"216.00,3.0764,13.5788"
"217.00,3.0885,13.5053"
"218.00,3.1042,13.6154"
"219.00,3.1164,13.5401"
"220.00,3.1301,13.5503"
"221.00,-3.1390,13.5764"
"222.00,-3.1252,13.5877"
"223.00,-3.1115,13.5955"
"224.00,-3.0995,13.5126"
"225.00,-3.0820,13.7155"
"226.00,-3.0683,13.7113"
"227.00,-3.0550,13.6910"
"228.00,-3.0420,13.6558"
"229.00,-3.0272,13.7146"
"230.00,-3.0146,13.6617"
"231.00,-3.0009,13.6603"
"232.00,-2.9872,13.6645"
"233.00,-2.9752,13.5813"
"234.00,-2.9596,13.6822"
"235.00,-2.9460,13.6744"
"236.00,-2.9318,13.7052"
"237.00,-2.9186,13.6799"
"238.00,-2.9026,13.7921"
"239.00,-2.8890,13.7844"
"240.00,-2.8749,13.8014"
"241.00,-2.8612,13.7933"
"242.00,-2.8474,13.7935"
"243.00,-2.8336,13.7937"
"244.00,-2.8200,13.7859"
"245.00,-2.8058,13.8055"
"246.00,-2.7938,13.7154"
"247.00,-2.7783,13.8039"
"248.00,-2.7660,13.7303"
"249.00,-2.7509,13.7991"
"250.00,-2.7368,13.8153"
"251.00,-2.7248,13.7248"
"252.00,-2.7093,13.8127"
"253.00,-2.6956,13.8042"
"254.00,-2.6802,13.8881"
"255.00,-2.6678,13.8105"
"256.00,-2.6540,13.8097"
"257.00,-2.6419,13.7246"
"258.00,-2.6265,13.8074"
"259.00,-2.6124,13.8231"
"260.00,-2.5991,13.7979"
"261.00,-2.5849,13.8165"
"262.00,-2.5729,13.7262"
"263.00,-2.5574,13.8138"
"264.00,-2.5438,13.8055"
"265.00,-2.5297,13.8213"
"266.00,-2.5176,13.7356"
"267.00,-2.5022,13.8179"
"268.00,-2.4900,13.7348"
"269.00,-2.4777,13.6651"
"270.00,-2.4622,13.7556"
