"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0019,0.6029"
"2.00,-0.0184,0.9488"
"3.00,-0.0183,-0.1133"
"4.00,-0.0183,-0.1043"
"5.00,-0.0167,-0.0991"
"6.00,-0.0061,-0.0124"
"7.00,0.0043,0.5186"
"8.00,0.0167,1.0096"
"9.00,0.0307,1.5808"
"10.00,0.0429,2.2020"
"11.00,0.0549,2.7041"
"12.00,0.0672,3.1675"
"13.00,0.0782,3.6214"
"14.00,0.0889,3.9932"
"15.00,0.1011,4.3301"
"16.00,0.1119,4.7190"
"17.00,0.1244,5.0265"
"18.00,0.1335,5.3969"
"19.00,0.1456,5.5852"
"20.00,0.1564,5.9114"
"21.00,0.1672,6.1558"
"22.00,0.1764,6.3880"
"23.00,0.1888,6.5267"
"24.00,0.1993,6.8222"
"25.00,0.2085,7.0047"
"26.00,0.2196,7.1126"
"27.00,0.2288,7.3133"
"28.00,0.2409,7.4058"
"29.00,0.2500,7.6409"
"30.00,0.2608,7.7170"
"31.00,0.2716,7.8711"
"32.00,0.2824,8.0176"
"33.00,0.2916,8.1566"
"34.00,0.3037,8.2070"
"35.00,0.3132,8.4021"
"36.00,0.3237,8.4565"
"37.00,0.3361,8.5572"
"38.00,0.3453,8.7512"
"39.00,0.3577,8.7718"
"40.00,0.3698,8.9550"
"41.00,0.3806,9.1126"
"42.00,0.3927,9.1970"
"43.00,0.4035,9.3425"
"44.00,0.4143,9.4154"
"45.00,0.4264,9.4846"
"46.00,0.4388,9.6158"
"47.00,0.4477,9.7568"
"48.00,0.4601,9.7107"
"49.00,0.4726,9.8470"
"50.00,0.4847,9.9764"
"51.00,0.4955,10.0830"
"52.00,0.5079,10.1188"
"53.00,0.5184,10.2347"
"54.00,0.5308,10.2465"
"55.00,0.5432,10.3560"
"56.00,0.5537,10.4600"
"57.00,0.5675,10.4606"
"58.00,0.5783,10.6248"
"59.00,0.5907,10.6335"
"60.00,0.6015,10.7236"
"61.00,0.6136,10.7274"
"62.00,0.6244,10.7965"
"63.00,0.6368,10.7966"
"64.00,0.6489,10.8786"
"65.00,0.6597,10.9400"
"66.00,0.6719,10.9330"
"67.00,0.6827,10.9918"
"68.00,0.6951,10.9822"
"69.00,0.7072,11.0548"
"70.00,0.7193,11.1075"
"71.00,0.7304,11.1576"
"72.00,0.7425,11.1560"
"73.00,0.7533,11.2036"
