"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,-0.0002,-0.0097"
"2.00,0.0002,0.0153"
"3.00,0.0001,0.0055"
"4.00,0.0000,0.0025"
"5.00,0.0002,0.0132"
"6.00,0.0001,0.0044"
"7.00,0.0000,0.0014"
"8.00,0.0002,0.0123"
"9.00,0.0001,0.0035"
"10.00,0.0000,0.0006"
"11.00,0.0002,0.0115"
"12.00,0.0001,0.0027"
"13.00,0.0000,-0.0002"
"14.00,0.0002,0.0108"
"15.00,0.0015,0.0675"
"16.00,0.0018,0.0896"
"17.00,0.0015,0.0597"
"18.00,0.0032,0.1476"
"19.00,0.0031,0.1384"
"20.00,0.0031,0.1242"
"21.00,0.0032,0.1270"
"22.00,0.0031,0.1189"
"23.00,0.0031,0.1057"
"24.00,0.0048,0.1913"
"25.00,0.0047,0.1727"
"26.00,0.0064,0.2549"
"27.00,0.0060,0.2167"
"28.00,0.0062,0.2195"
"29.00,0.0064,0.2194"
"30.00,0.0077,0.2658"
"31.00,0.0079,0.2661"
"32.00,0.0077,0.2473"
"33.00,0.0077,0.2341"
"34.00,0.0093,0.2969"
"35.00,0.0091,0.2793"
"36.00,0.0093,0.2690"
"37.00,0.0094,0.2637"
"38.00,0.0110,0.3305"
"39.00,0.0110,0.3140"
"40.00,0.0110,0.2983"
"41.00,0.0106,0.2598"
"42.00,0.0123,0.3376"
"43.00,0.0123,0.3117"
"44.00,0.0123,0.3052"
"45.00,0.0123,0.2809"
"46.00,0.0123,0.2759"
"47.00,0.0139,0.3349"
"48.00,0.0139,0.3272"
"49.00,0.0139,0.3018"
"50.00,0.0139,0.2957"
"51.00,0.0152,0.3373"
"52.00,0.0156,0.3459"
"53.00,0.0152,0.3032"
"54.00,0.0156,0.3134"
"55.00,0.0168,0.3542"
"56.00,0.0169,0.3455"
"57.00,0.0168,0.3192"
"58.00,0.0169,0.3122"
"59.00,0.0185,0.3694"
"60.00,0.0183,0.3482"
"61.00,0.0185,0.3344"
"62.00,0.0201,0.4077"
"63.00,0.0198,0.3619"
"64.00,0.0215,0.4346"
"65.00,0.0214,0.4039"
"66.00,0.0216,0.3973"
"67.00,0.0231,0.4538"
"68.00,0.0230,0.4230"
"69.00,0.0246,0.4808"
"70.00,0.0247,0.4677"
"71.00,0.0244,0.4198"
"72.00,0.0261,0.4897"
"73.00,0.0260,0.4634"
"74.00,0.0260,0.4330"
"75.00,0.0277,0.5022"
"76.00,0.0276,0.4681"
"77.00,0.0293,0.5355"
"78.00,0.0289,0.4833"
"79.00,0.0291,0.4727"
"80.00,0.0306,0.5255"
"81.00,0.0306,0.4911"
"82.00,0.0308,0.4801"
"83.00,0.0323,0.5324"
"84.00,0.0322,0.4977"
"85.00,0.0321,0.4700"
"86.00,0.0339,0.5392"
"87.00,0.0339,0.5114"
"88.00,0.0339,0.4858"
"89.00,0.0335,0.4380"
"90.00,0.0352,0.5068"
"91.00,0.0352,0.4725"
"92.00,0.0352,0.4579"
"93.00,0.0352,0.4260"
"94.00,0.0352,0.4137"
"95.00,0.0368,0.4658"
"96.00,0.0368,0.4515"
"97.00,0.0368,0.4200"
"98.00,0.0385,0.4898"
"99.00,0.0381,0.4399"
"100.00,0.0395,0.4897"
"101.00,0.0397,0.4779"
"102.00,0.0397,0.4523"
"103.00,0.0398,0.4305"
"104.00,0.0398,0.4171"
"105.00,0.0414,0.4682"
"106.00,0.0412,0.4420"
"107.00,0.0413,0.4236"
"108.00,0.0410,0.3860"
"109.00,0.0427,0.4494"
"110.00,0.0428,0.4324"
"111.00,0.0426,0.4062"
"112.00,0.0428,0.3896"
"113.00,0.0446,0.4646"
"114.00,0.0445,0.4359"
"115.00,0.0446,0.4178"
"116.00,0.0443,0.3806"
"117.00,0.0443,0.3624"
"118.00,0.0444,0.3497"
"119.00,0.0446,0.3440"
"120.00,0.0461,0.4032"
"121.00,0.0459,0.3695"
"122.00,0.0459,0.3528"
"123.00,0.0461,0.3406"
"124.00,0.0459,0.3190"
"125.00,0.0461,0.3067"
"126.00,0.0459,0.2877"
"127.00,0.0461,0.2770"
"128.00,0.0459,0.2595"
"129.00,0.0461,0.2502"
"130.00,0.0459,0.2340"
"131.00,0.0461,0.2260"
"132.00,0.0476,0.2928"
"133.00,0.0477,0.2891"
"134.00,0.0476,0.2611"
"135.00,0.0476,0.2498"
"136.00,0.0474,0.2264"
"137.00,0.0476,0.2268"
"138.00,0.0477,0.2264"
"139.00,0.0476,0.2016"
"140.00,0.0476,0.1932"
"141.00,0.0474,0.1727"
"142.00,0.0476,0.1758"
"143.00,0.0478,0.1779"
"144.00,0.0493,0.2454"
"145.00,0.0492,0.2250"
"146.00,0.0491,0.2109"
"147.00,0.0493,0.2113"
"148.00,0.0492,0.1927"
"149.00,0.0491,0.1802"
"150.00,0.0489,0.1577"
"151.00,0.0489,0.1515"
"152.00,0.0493,0.1684"
"153.00,0.0492,0.1502"
"154.00,0.0491,0.1398"
"155.00,0.0489,0.1193"
"156.00,0.0489,0.1151"
"157.00,0.0490,0.1148"
"158.00,0.0492,0.1208"
"159.00,0.0491,0.1093"
"160.00,0.0489,0.0903"
"161.00,0.0489,0.0876"
"162.00,0.0490,0.0886"
"163.00,0.0492,0.0960"
"164.00,0.0491,0.0857"
"165.00,0.0489,0.0679"
"166.00,0.0489,0.0663"
"167.00,0.0490,0.0684"
"168.00,0.0492,0.0768"
"169.00,0.0491,0.0675"
"170.00,0.0489,0.0506"
"171.00,0.0489,0.0498"
"172.00,0.0490,0.0528"
"173.00,0.0492,0.0619"
"174.00,0.0491,0.0533"
"175.00,0.0489,0.0372"
"176.00,0.0505,0.1189"
"177.00,0.0506,0.1184"
"178.00,0.0505,0.1079"
"179.00,0.0506,0.1062"
"180.00,0.0505,0.0972"
"181.00,0.0506,0.0960"
"182.00,0.0505,0.0875"
"183.00,0.0506,0.0868"
"184.00,0.0509,0.0952"
"185.00,0.0507,0.0849"
"186.00,0.0505,0.0672"
"187.00,0.0505,0.0656"
"188.00,0.0506,0.0677"
"189.00,0.0509,0.0761"
"190.00,0.0507,0.0669"
"191.00,0.0505,0.0500"
"192.00,0.0505,0.0492"
"193.00,0.0523,0.1340"
"194.00,0.0521,0.1228"
"195.00,0.0523,0.1203"
"196.00,0.0521,0.1106"
"197.00,0.0523,0.1088"
"198.00,0.0521,0.0996"
"199.00,0.0523,0.0984"
"200.00,0.0521,0.0897"
"201.00,0.0523,0.0890"
"202.00,0.0521,0.0808"
"203.00,0.0523,0.0805"
"204.00,0.0521,0.0727"
"205.00,0.0523,0.0728"
"206.00,0.0521,0.0655"
"207.00,0.0523,0.0659"
"208.00,0.0521,0.0589"
"209.00,0.0523,0.0597"
"210.00,0.0521,0.0530"
"211.00,0.0523,0.0540"
"212.00,0.0521,0.0476"
"213.00,0.0523,0.0490"
"214.00,0.0521,0.0428"
"215.00,0.0523,0.0444"
"216.00,0.0521,0.0384"
"217.00,0.0523,0.0402"
"218.00,0.0521,0.0345"
"219.00,0.0523,0.0365"
"220.00,0.0521,0.0309"
"221.00,0.0523,0.0331"
"222.00,0.0521,0.0277"
"223.00,0.0523,0.0301"
"224.00,0.0521,0.0249"
"225.00,0.0523,0.0273"
"226.00,0.0521,0.0222"
"227.00,0.0523,0.0248"
"228.00,0.0521,0.0199"
"229.00,0.0523,0.0226"
"230.00,0.0521,0.0178"
"231.00,0.0523,0.0206"
"232.00,0.0521,0.0158"
"233.00,0.0523,0.0188"
"234.00,0.0521,0.0141"
"235.00,0.0523,0.0171"
"236.00,0.0521,0.0126"
"237.00,0.0523,0.0156"
"238.00,0.0521,0.0111"
"239.00,0.0523,0.0143"
"240.00,0.0538,0.0917"
"241.00,0.0538,0.0854"
"242.00,0.0538,0.0820"
"243.00,0.0536,0.0670"
"244.00,0.0536,0.0636"
"245.00,0.0536,0.0604"
"246.00,0.0536,0.0574"
"247.00,0.0536,0.0545"
"248.00,0.0536,0.0518"
"249.00,0.0536,0.0492"
"250.00,0.0536,0.0468"
"251.00,0.0536,0.0444"
"252.00,0.0536,0.0422"
"253.00,0.0536,0.0401"
"254.00,0.0536,0.0381"
"255.00,0.0536,0.0362"
"256.00,0.0536,0.0344"
"257.00,0.0536,0.0327"
"258.00,0.0536,0.0310"
"259.00,0.0536,0.0295"
"260.00,0.0536,0.0280"
"261.00,0.0536,0.0266"
"262.00,0.0536,0.0253"
"263.00,0.0536,0.0240"
"264.00,0.0536,0.0228"
"265.00,0.0536,0.0217"
"266.00,0.0536,0.0206"
"267.00,0.0536,0.0195"
"268.00,0.0536,0.0186"
"269.00,0.0536,0.0176"
"270.00,0.0536,0.0168"
"271.00,0.0536,0.0159"
"272.00,0.0536,0.0151"
"273.00,0.0536,0.0144"
"274.00,0.0536,0.0137"
"275.00,0.0536,0.0130"
"276.00,0.0536,0.0123"
"277.00,0.0539,0.0281"
"278.00,0.0538,0.0221"
"279.00,0.0539,0.0247"
"280.00,0.0538,0.0197"
"281.00,0.0539,0.0225"
"282.00,0.0538,0.0176"
"283.00,0.0539,0.0205"
"284.00,0.0538,0.0157"
"285.00,0.0539,0.0187"
"286.00,0.0538,0.0140"
"287.00,0.0539,0.0170"
"288.00,0.0538,0.0125"
"289.00,0.0539,0.0156"
"290.00,0.0538,0.0111"
"291.00,0.0539,0.0142"
"292.00,0.0538,0.0098"
"293.00,0.0539,0.0130"
"294.00,0.0554,0.0905"
"295.00,0.0554,0.0842"
"296.00,0.0554,0.0809"
"297.00,0.0552,0.0659"
"298.00,0.0552,0.0626"
"299.00,0.0552,0.0595"
"300.00,0.0552,0.0565"
"301.00,0.0552,0.0537"
"302.00,0.0552,0.0510"
"303.00,0.0552,0.0484"
"304.00,0.0552,0.0460"
"305.00,0.0552,0.0437"
"306.00,0.0552,0.0415"
"307.00,0.0552,0.0395"
"308.00,0.0552,0.0375"
"309.00,0.0552,0.0356"
"310.00,0.0552,0.0338"
"311.00,0.0552,0.0321"
"312.00,0.0552,0.0305"
"313.00,0.0552,0.0290"
"314.00,0.0552,0.0276"
"315.00,0.0552,0.0262"
"316.00,0.0552,0.0249"
"317.00,0.0552,0.0236"
"318.00,0.0552,0.0224"
"319.00,0.0552,0.0213"
"320.00,0.0552,0.0203"
"321.00,0.0552,0.0192"
"322.00,0.0552,0.0183"
"323.00,0.0552,0.0174"
"324.00,0.0552,0.0165"
"325.00,0.0569,0.0975"
"326.00,0.0570,0.1044"
"327.00,0.0567,0.0811"
"328.00,0.0569,0.0833"
"329.00,0.0570,0.0910"
"330.00,0.0567,0.0683"
"331.00,0.0569,0.0712"
"332.00,0.0570,0.0794"
"333.00,0.0567,0.0574"
"334.00,0.0569,0.0608"
"335.00,0.0570,0.0695"
"336.00,0.0567,0.0480"
"337.00,0.0569,0.0519"
"338.00,0.0570,0.0611"
"339.00,0.0567,0.0399"
"340.00,0.0568,0.0442"
"341.00,0.0566,0.0294"
"342.00,0.0568,0.0351"
"343.00,0.0567,0.0351"
"344.00,0.0567,0.0316"
"345.00,0.0567,0.0300"
"346.00,0.0567,0.0285"
"347.00,0.0567,0.0271"
"348.00,0.0567,0.0257"
"349.00,0.0567,0.0245"
"350.00,0.0567,0.0232"
"351.00,0.0567,0.0221"
"352.00,0.0567,0.0210"
"353.00,0.0584,0.1017"
"354.00,0.0584,0.0966"
"355.00,0.0584,0.0973"
"356.00,0.0583,0.0798"
"357.00,0.0584,0.0830"
"358.00,0.0584,0.0805"
"359.00,0.0584,0.0748"
"360.00,0.0584,0.0710"
"361.00,0.0584,0.0675"
"362.00,0.0584,0.0641"
"363.00,0.0584,0.0609"
"364.00,0.0584,0.0579"
"365.00,0.0584,0.0550"
"366.00,0.0584,0.0577"
"367.00,0.0583,0.0422"
"368.00,0.0584,0.0472"
"369.00,0.0584,0.0466"
"370.00,0.0600,0.1244"
"371.00,0.0600,0.1181"
"372.00,0.0601,0.1177"
"373.00,0.0599,0.0992"
"374.00,0.0597,0.0850"
"375.00,0.0599,0.0926"
"376.00,0.0600,0.0934"
"377.00,0.0600,0.0878"
"378.00,0.0601,0.0889"
"379.00,0.0599,0.0718"
"380.00,0.0597,0.0590"
"381.00,0.0599,0.0679"
"382.00,0.0600,0.0699"
"383.00,0.0600,0.0656"
"384.00,0.0601,0.0677"
"385.00,0.0599,0.0517"
"386.00,0.0597,0.0400"
"387.00,0.0599,0.0497"
"388.00,0.0600,0.0527"
"389.00,0.0600,0.0492"
"390.00,0.0601,0.0522"
"391.00,0.0599,0.0369"
"392.00,0.0597,0.0259"
"393.00,0.0599,0.0364"
"394.00,0.0600,0.0400"
"395.00,0.0616,0.1190"
"396.00,0.0616,0.1130"
"397.00,0.0614,0.0965"
"398.00,0.0613,0.0845"
"399.00,0.0616,0.1001"
"400.00,0.0616,0.0933"
"401.00,0.0614,0.0777"
"402.00,0.0613,0.0667"
"403.00,0.0616,0.0832"
"404.00,0.0616,0.0773"
"405.00,0.0614,0.0625"
"406.00,0.0613,0.0522"
"407.00,0.0616,0.0694"
"408.00,0.0616,0.0642"
"409.00,0.0614,0.0501"
"410.00,0.0613,0.0404"
"411.00,0.0616,0.0582"
"412.00,0.0616,0.0536"
"413.00,0.0630,0.1218"
"414.00,0.0628,0.1031"
"415.00,0.0630,0.1051"
"416.00,0.0629,0.1016"
"417.00,0.0629,0.0948"
"418.00,0.0630,0.0955"
"419.00,0.0628,0.0781"
"420.00,0.0630,0.0813"
"421.00,0.0629,0.0790"
"422.00,0.0629,0.0733"
"423.00,0.0630,0.0751"
"424.00,0.0645,0.1406"
"425.00,0.0645,0.1352"
"426.00,0.0645,0.1285"
"427.00,0.0643,0.1111"
"428.00,0.0646,0.1237"
"429.00,0.0646,0.1158"
"430.00,0.0647,0.1154"
"431.00,0.0645,0.0970"
"432.00,0.0643,0.0830"
"433.00,0.0646,0.0969"
"434.00,0.0646,0.0904"
"435.00,0.0647,0.0913"
"436.00,0.0645,0.0741"
"437.00,0.0643,0.0612"
"438.00,0.0646,0.0762"
"439.00,0.0646,0.0707"
"440.00,0.0647,0.0726"
"441.00,0.0645,0.0564"
"442.00,0.0643,0.0443"
"443.00,0.0646,0.0602"
"444.00,0.0646,0.0555"
"445.00,0.0647,0.0582"
"446.00,0.0645,0.0426"
"447.00,0.0643,0.0313"
"448.00,0.0646,0.0478"
"449.00,0.0646,0.0437"
"450.00,0.0647,0.0470"
"451.00,0.0645,0.0320"
"452.00,0.0643,0.0212"
"453.00,0.0646,0.0382"
"454.00,0.0662,0.1164"
"455.00,0.0662,0.1106"
"456.00,0.0660,0.0942"
"457.00,0.0659,0.0823"
"458.00,0.0662,0.0980"
"459.00,0.0662,0.0913"
"460.00,0.0660,0.0759"
"461.00,0.0659,0.0649"
"462.00,0.0662,0.0815"
"463.00,0.0662,0.0757"
"464.00,0.0660,0.0610"
"465.00,0.0659,0.0508"
"466.00,0.0662,0.0680"
"467.00,0.0662,0.0629"
"468.00,0.0660,0.0488"
"469.00,0.0659,0.0392"
"470.00,0.0662,0.0571"
"471.00,0.0662,0.0525"
"472.00,0.0660,0.0390"
"473.00,0.0659,0.0298"
"474.00,0.0662,0.0481"
"475.00,0.0662,0.0440"
"476.00,0.0660,0.0309"
"477.00,0.0659,0.0222"
"478.00,0.0662,0.0409"
"479.00,0.0662,0.0371"
"480.00,0.0660,0.0244"
"481.00,0.0659,0.0160"
"482.00,0.0662,0.0350"
"483.00,0.0662,0.0315"
"484.00,0.0660,0.0190"
"485.00,0.0659,0.0109"
"486.00,0.0662,0.0301"
"487.00,0.0662,0.0269"
"488.00,0.0660,0.0147"
"489.00,0.0659,0.0068"
"490.00,0.0662,0.0262"
"491.00,0.0662,0.0232"
"492.00,0.0660,0.0111"
"493.00,0.0659,0.0034"
"494.00,0.0662,0.0230"
"495.00,0.0662,0.0202"
"496.00,0.0659,0.0002"
"497.00,0.0659,0.0036"
"498.00,0.0657,-0.0092"
"499.00,0.0659,0.0039"
"500.00,0.0673,0.0729"
"501.00,0.0674,0.0764"
"502.00,0.0674,0.0718"
"503.00,0.0675,0.0736"
"504.00,0.0673,0.0582"
"505.00,0.0675,0.0679"
"506.00,0.0673,0.0519"
"507.00,0.0675,0.0619"
"508.00,0.0673,0.0462"
"509.00,0.0675,0.0565"
"510.00,0.0673,0.0411"
"511.00,0.0675,0.0516"
"512.00,0.0673,0.0364"
"513.00,0.0675,0.0472"
"514.00,0.0673,0.0322"
"515.00,0.0675,0.0432"
"516.00,0.0673,0.0285"
"517.00,0.0675,0.0397"
"518.00,0.0673,0.0251"
"519.00,0.0675,0.0364"
"520.00,0.0673,0.0220"
"521.00,0.0675,0.0335"
"522.00,0.0673,0.0192"
"523.00,0.0675,0.0309"
"524.00,0.0673,0.0167"
"525.00,0.0675,0.0285"
"526.00,0.0673,0.0144"
"527.00,0.0675,0.0263"
"528.00,0.0673,0.0124"
"529.00,0.0675,0.0244"
"530.00,0.0673,0.0106"
"531.00,0.0675,0.0227"
"532.00,0.0673,0.0089"
"533.00,0.0675,0.0211"
"534.00,0.0673,0.0074"
"535.00,0.0691,0.1015"
"536.00,0.0690,0.0838"
"537.00,0.0691,0.0922"
"538.00,0.0690,0.0750"
"539.00,0.0691,0.0838"
"540.00,0.0690,0.0670"
"541.00,0.0691,0.0763"
"542.00,0.0690,0.0599"
"543.00,0.0691,0.0695"
"544.00,0.0690,0.0534"
"545.00,0.0691,0.0633"
"546.00,0.0706,0.1294"
"547.00,0.0707,0.1301"
"548.00,0.0707,0.1227"
"549.00,0.0705,0.1057"
"550.00,0.0706,0.1050"
"551.00,0.0720,0.1723"
"552.00,0.0720,0.1629"
"553.00,0.0721,0.1602"
"554.00,0.0719,0.1404"
"555.00,0.0721,0.1460"
"556.00,0.0719,0.1261"
"557.00,0.0721,0.1324"
"558.00,0.0735,0.1950"
"559.00,0.0736,0.1924"
"560.00,0.0736,0.1819"
"561.00,0.0737,0.1783"
"562.00,0.0735,0.1576"
"563.00,0.0750,0.2278"
"564.00,0.0752,0.2202"
"565.00,0.0753,0.2163"
"566.00,0.0766,0.2701"
"567.00,0.0766,0.2566"
"568.00,0.0767,0.2492"
"569.00,0.0765,0.2250"
"570.00,0.0783,0.3082"
"571.00,0.0781,0.2801"
"572.00,0.0783,0.2787"
"573.00,0.0781,0.2522"
"574.00,0.0783,0.2522"
"575.00,0.0798,0.3088"
"576.00,0.0798,0.3005"
"577.00,0.0798,0.2846"
"578.00,0.0796,0.2595"
"579.00,0.0810,0.3166"
"580.00,0.0810,0.3016"
"581.00,0.0810,0.2865"
"582.00,0.0810,0.2722"
"583.00,0.0810,0.2586"
"584.00,0.0827,0.3275"
"585.00,0.0830,0.3283"
"586.00,0.0827,0.2938"
"587.00,0.0829,0.2917"
"588.00,0.0845,0.3518"
"589.00,0.0846,0.3477"
"590.00,0.0845,0.3160"
"591.00,0.0846,0.3145"
"592.00,0.0860,0.3608"
"593.00,0.0860,0.3445"
"594.00,0.0860,0.3273"
"595.00,0.0860,0.3109"
"596.00,0.0875,0.3717"
"597.00,0.0875,0.3531"
"598.00,0.0875,0.3355"
"599.00,0.0875,0.3187"
"600.00,0.0875,0.3028"
"601.00,0.0875,0.2876"
"602.00,0.0886,0.3278"
"603.00,0.0886,0.3114"
"604.00,0.0885,0.2912"
"605.00,0.0886,0.2804"
"606.00,0.0902,0.3499"
"607.00,0.0902,0.3316"
"608.00,0.0902,0.3150"
"609.00,0.0903,0.3039"
"610.00,0.0902,0.2849"
"611.00,0.0922,0.3680"
"612.00,0.0920,0.3378"
"613.00,0.0922,0.3335"
"614.00,0.0920,0.3043"
"615.00,0.0922,0.3016"
"616.00,0.0920,0.2740"
"617.00,0.0939,0.3601"
"618.00,0.0939,0.3413"
"619.00,0.0939,0.3242"
"620.00,0.0951,0.3680"
"621.00,0.0952,0.3542"
"622.00,0.0951,0.3327"
"623.00,0.0951,0.3153"
"624.00,0.0952,0.3041"
"625.00,0.0970,0.3778"
"626.00,0.0969,0.3518"
"627.00,0.0969,0.3351"
"628.00,0.0969,0.3183"
"629.00,0.0969,0.3024"
"630.00,0.0969,0.2873"
"631.00,0.0982,0.3384"
"632.00,0.0982,0.3214"
"633.00,0.0984,0.3171"
"634.00,0.0982,0.2887"
"635.00,0.0984,0.2868"
"636.00,0.0982,0.2599"
"637.00,0.0984,0.2595"
"638.00,0.0998,0.3158"
"639.00,0.0997,0.2962"
"640.00,0.0997,0.2805"
"641.00,0.0998,0.2711"
"642.00,0.0997,0.2538"
"643.00,0.1013,0.3221"
"644.00,0.1011,0.2942"
"645.00,0.1013,0.2921"
"646.00,0.1011,0.2649"
