"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0003,0.0080"
"2.00,0.0003,0.0161"
"3.00,0.0003,0.0177"
"4.00,0.0003,0.0168"
"5.00,0.0003,0.0160"
"6.00,0.0003,0.0152"
"7.00,0.0003,0.0144"
"8.00,0.0003,0.0137"
"9.00,0.0003,0.0130"
"10.00,0.0003,0.0124"
"11.00,0.0003,0.0117"
"12.00,0.0003,0.0112"
"13.00,0.0003,0.0106"
"14.00,0.0003,0.0101"
"15.00,0.0003,0.0096"
"16.00,0.0003,0.0091"
"17.00,0.0003,0.0086"
"18.00,0.0003,0.0082"
"19.00,0.0003,0.0078"
"20.00,0.0003,0.0074"
"21.00,0.0003,0.0070"
"22.00,0.0003,0.0067"
"23.00,0.0003,0.0063"
"24.00,0.0003,0.0060"
"25.00,0.0003,0.0057"
"26.00,0.0003,0.0054"
"27.00,0.0003,0.0052"
"28.00,0.0003,0.0049"
"29.00,0.0003,0.0047"
"30.00,0.0003,0.0044"
"31.00,0.0003,0.0042"
"32.00,0.0003,0.0040"
"33.00,0.0003,0.0038"
"34.00,0.0003,0.0036"
"35.00,0.0003,0.0034"
"36.00,0.0003,0.0033"
"37.00,0.0003,0.0031"
"38.00,0.0003,0.0029"
"39.00,0.0003,0.0028"
"40.00,0.0003,0.0027"
"41.00,0.0003,0.0025"
"42.00,0.0003,0.0024"
"43.00,0.0003,0.0023"
"44.00,0.0003,0.0022"
"45.00,0.0003,0.0021"
"46.00,0.0003,0.0019"
"47.00,0.0003,0.0019"
"48.00,0.0003,0.0018"
"49.00,0.0003,0.0017"
"50.00,0.0003,0.0016"
"51.00,0.0003,0.0015"
"52.00,0.0003,0.0014"
"53.00,0.0003,0.0014"
"54.00,0.0003,0.0013"
"55.00,0.0003,0.0012"
"56.00,0.0003,0.0012"
"57.00,0.0003,0.0011"
"58.00,0.0003,0.0011"
"59.00,0.0003,0.0010"
"60.00,0.0003,0.0010"
"61.00,0.0003,0.0009"
"62.00,0.0003,0.0009"
"63.00,0.0003,0.0008"
"64.00,0.0003,0.0008"
"65.00,0.0003,0.0007"
"66.00,0.0003,0.0007"
"67.00,0.0003,0.0007"
"68.00,0.0003,0.0006"
"69.00,0.0003,0.0006"
"70.00,0.0003,0.0006"
"71.00,0.0003,0.0005"
"72.00,0.0003,0.0005"
"73.00,0.0003,0.0005"
"74.00,0.0003,0.0005"
"75.00,0.0003,0.0004"
"76.00,0.0003,0.0004"
"77.00,0.0003,0.0004"
"78.00,0.0003,0.0004"
"79.00,0.0003,0.0004"
"80.00,0.0003,0.0003"
"81.00,0.0003,0.0003"
"82.00,0.0003,0.0003"
"83.00,0.0003,0.0003"
"84.00,0.0003,0.0003"
"85.00,0.0003,0.0003"
"86.00,0.0003,0.0003"
"87.00,0.0003,0.0002"
"88.00,0.0003,0.0002"
"89.00,0.0003,0.0002"
"90.00,0.0003,0.0002"
"91.00,0.0003,0.0002"
"92.00,0.0003,0.0002"
"93.00,0.0003,0.0002"
"94.00,0.0003,0.0002"
"95.00,0.0003,0.0002"
"96.00,0.0000,0.0001"
"97.00,0.0003,-0.0162"
"98.00,0.0003,0.0010"
"99.00,0.0003,0.0009"
"100.00,0.0003,0.0009"
"101.00,0.0003,0.0008"
"102.00,0.0000,0.0008"
"103.00,0.0000,-0.0156"
"104.00,0.0000,-0.0148"
"105.00,0.0000,-0.0141"
"106.00,0.0000,-0.0134"
"107.00,0.0000,-0.0127"
"108.00,0.0000,-0.0121"
"109.00,0.0000,-0.0115"
"110.00,0.0000,-0.0109"
"111.00,0.0000,-0.0104"
"112.00,0.0000,-0.0098"
"113.00,0.0000,-0.0094"
"114.00,0.0000,-0.0089"
"115.00,0.0000,-0.0084"
"116.00,0.0000,-0.0080"
"117.00,0.0000,-0.0076"
"118.00,0.0000,-0.0072"
"119.00,0.0000,-0.0069"
"120.00,0.0000,-0.0065"
"121.00,0.0000,-0.0062"
"122.00,0.0000,-0.0059"
"123.00,0.0000,-0.0056"
"124.00,0.0000,-0.0053"
"125.00,0.0000,-0.0051"
"126.00,0.0000,-0.0048"
"127.00,0.0000,-0.0046"
"128.00,0.0000,-0.0043"
"129.00,0.0000,-0.0041"
"130.00,0.0000,-0.0039"
"131.00,0.0000,-0.0037"
"132.00,0.0000,-0.0035"
"133.00,0.0000,-0.0034"
"134.00,0.0000,-0.0032"
"135.00,0.0000,-0.0030"
"136.00,0.0000,-0.0029"
"137.00,0.0000,-0.0027"
"138.00,0.0000,-0.0026"
"139.00,0.0000,-0.0025"
"140.00,0.0000,-0.0023"
"141.00,0.0000,-0.0022"
"142.00,0.0000,-0.0021"
"143.00,0.0000,-0.0020"
"144.00,0.0000,-0.0019"
"145.00,0.0000,-0.0018"
"146.00,0.0000,-0.0017"
"147.00,0.0000,-0.0016"
"148.00,0.0000,-0.0016"
