"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0338,-0.0025"
"2.00,0.0339,0.0098"
"3.00,0.0338,0.0141"
"4.00,0.0367,0.0080"
"5.00,0.0490,0.1494"
"6.00,0.0660,0.7576"
"7.00,0.0902,1.5712"
"8.00,0.1151,2.7035"
"9.00,0.1410,3.8119"
"10.00,0.1410,4.9139"
"11.00,0.1663,5.9129"
"12.00,0.1922,6.9671"
"13.00,0.2184,7.8881"
"14.00,0.2456,8.8615"
"15.00,0.2721,9.7329"
"16.00,0.2966,10.4995"
"17.00,0.3241,11.3243"
"18.00,0.3506,12.0821"
"19.00,0.3764,12.7965"
"20.00,0.4040,13.5068"
"21.00,0.4318,14.2208"
"22.00,0.4592,14.9100"
"23.00,0.4851,15.4330"
"24.00,0.5113,15.9797"
"25.00,0.5388,16.5552"
"26.00,0.5650,17.0364"
"27.00,0.5912,17.4936"
"28.00,0.6200,18.0589"
"29.00,0.6464,18.4758"
"30.00,0.6740,18.9319"
"31.00,0.7001,19.2835"
"32.00,0.7276,19.7191"
"33.00,0.7551,20.0842"
"34.00,0.7797,20.3162"
"35.00,0.8072,20.6748"
"36.00,0.8333,20.9501"
"37.00,0.8611,21.2934"
"38.00,0.8870,21.5214"
"39.00,0.9151,21.8416"
"40.00,0.9393,21.9855"
"41.00,0.9669,22.2378"
"42.00,0.9929,22.4382"
"43.00,1.0192,22.6307"
"44.00,1.0451,22.7918"
"45.00,1.0712,22.9612"
"46.00,1.0974,23.1222"
"47.00,1.1249,23.3406"
"48.00,1.1499,23.4007"
"49.00,1.1777,23.6643"
"50.00,1.2039,23.7692"
"51.00,1.2281,23.7915"
"52.00,1.2543,23.9110"
"53.00,1.2805,24.0244"
"54.00,1.3067,24.1322"
"55.00,1.3328,24.2346"
"56.00,1.3570,24.2337"
"57.00,1.3830,24.3420"
"58.00,1.4090,24.3646"
"59.00,1.4337,24.4575"
"60.00,1.4596,24.4654"
"61.00,1.4842,24.5136"
"62.00,1.5101,24.5592"
"63.00,1.5346,24.5664"
"64.00,1.5591,24.5544"
"65.00,1.5853,24.6599"
"66.00,1.6115,24.7148"
"67.00,1.6358,24.6977"
"68.00,1.6606,24.6955"
"69.00,1.6864,24.7774"
"70.00,1.7097,24.6795"
"71.00,1.7339,24.6640"
"72.00,1.7604,24.7453"
"73.00,1.7863,24.8246"
"74.00,1.8108,24.7900"
"75.00,1.8354,24.7853"
"76.00,1.8599,24.7732"
"77.00,1.8845,24.7617"
"78.00,1.9090,24.7509"
"79.00,1.9336,24.7405"
"80.00,1.9581,24.7307"
"81.00,1.9840,24.7868"
"82.00,2.0088,24.7910"
"83.00,2.0334,24.7787"
"84.00,2.0563,24.6851"
"85.00,2.0808,24.6780"
"86.00,2.1056,24.6768"
"87.00,2.1315,24.7590"
"88.00,2.1548,24.6470"
"89.00,2.1827,24.8518"
"90.00,2.2073,24.8189"
"91.00,2.2318,24.8051"
"92.00,2.2563,24.7921"
"93.00,2.2825,24.8615"
"94.00,2.3054,24.7638"
"95.00,2.3300,24.7528"
"96.00,2.3558,24.8078"
"97.00,2.3820,24.8764"
"98.00,2.4069,24.8762"
"99.00,2.4327,24.9250"
"100.00,2.4589,24.9878"
"101.00,2.4835,24.9656"
"102.00,2.5096,25.0264"
"103.00,2.5339,24.9858"
"104.00,2.5587,24.9801"
"105.00,2.5862,25.1056"
"106.00,2.6108,25.0775"
"107.00,2.6382,25.1981"
"108.00,2.6640,25.2472"
"109.00,2.6883,25.1573"
"110.00,2.7160,25.3014"
"111.00,2.7404,25.2752"
"112.00,2.7664,25.2917"
"113.00,2.7940,25.4132"
"114.00,2.8201,25.4407"
"115.00,2.8465,25.5055"
"116.00,2.8722,25.4998"
"117.00,2.9004,25.6217"
"118.00,2.9269,25.7003"
"119.00,2.9527,25.6900"
"120.00,2.9789,25.7145"
"121.00,3.0064,25.8033"
"122.00,3.0338,25.8930"
"123.00,3.0597,25.8740"
"124.00,3.0872,25.9664"
"125.00,3.1134,25.9825"
"126.00,3.1409,26.0467"
"127.00,-3.1130,26.2063"
"128.00,-3.0886,26.1288"
"129.00,-3.0608,26.2131"
"130.00,-3.0334,26.2605"
"131.00,-3.0071,26.2620"
"132.00,-2.9791,26.3588"
"133.00,-2.9518,26.4125"
"134.00,-2.9225,26.5374"
"135.00,-2.8949,26.6121"
"136.00,-2.8691,26.5635"
"137.00,-2.8430,26.5228"
"138.00,-2.8157,26.5787"
"139.00,-2.7879,26.6380"
"140.00,-2.7604,26.6806"
"141.00,-2.7312,26.8083"
"142.00,-2.7049,26.7744"
"143.00,-2.6776,26.8097"
"144.00,-2.6513,26.7812"
"145.00,-2.6236,26.8141"
"146.00,-2.5954,26.9008"
"147.00,-2.5682,26.9228"
"148.00,-2.5388,27.0233"
"149.00,-2.5112,27.0725"
"150.00,-2.4852,27.0075"
"151.00,-2.4574,27.0472"
"152.00,-2.4314,27.0086"
"153.00,-2.4037,27.0233"
"154.00,-2.3777,26.9904"
"155.00,-2.3487,27.0716"
"156.00,-2.3207,27.1343"
"157.00,-2.2934,27.1267"
"158.00,-2.2671,27.1047"
"159.00,-2.2414,27.0168"
"160.00,-2.2150,27.0002"
"161.00,-2.1874,27.0159"
"162.00,-2.1614,26.9828"
"163.00,-2.1339,26.9995"
"164.00,-2.1099,26.8474"
"165.00,-2.0821,26.8926"
"166.00,-2.0562,26.8448"
"167.00,-2.0317,26.7297"
"168.00,-2.0039,26.7841"
"169.00,-1.9780,26.7375"
"170.00,-1.9518,26.7097"
"171.00,-1.9257,26.6832"
"172.00,-1.9011,26.5762"
"173.00,-1.8736,26.6219"
"174.00,-1.8489,26.5235"
"175.00,-1.8245,26.4283"
"176.00,-1.7985,26.3974"
"177.00,-1.7739,26.3085"
"178.00,-1.7476,26.3076"
"179.00,-1.7229,26.2249"
"180.00,-1.6985,26.1445"
"181.00,-1.6741,26.0462"
