"Angular Position,Angular Velocity"
"0.00,0.0000,0.0000"
"1.00,0.0046,0.0118"
"2.00,0.0046,0.0112"
"3.00,0.0046,0.0106"
"4.00,0.0046,0.0101"
"5.00,0.0046,0.0096"
"6.00,0.0046,0.0091"
"7.00,0.0075,0.1559"
"8.00,0.0200,0.7706"
"9.00,0.0307,1.2706"
"10.00,0.0458,1.9612"
"11.00,0.0599,2.5668"
"12.00,0.0736,3.1249"
"13.00,0.0874,3.6559"
"14.00,0.1011,4.1603"
"15.00,0.1149,4.6395"
"16.00,0.1273,5.0294"
"17.00,0.1424,5.5306"
"18.00,0.1564,5.9577"
"19.00,0.1702,6.3470"
"20.00,0.1839,6.7169"
"21.00,0.1977,7.0683"
"22.00,0.2117,7.4184"
"23.00,0.2238,7.6530"
"24.00,0.2392,8.0394"
"25.00,0.2530,8.3246"
"26.00,0.2667,8.5956"
"27.00,0.2791,8.7876"
"28.00,0.2945,9.1173"
"29.00,0.3083,9.3487"
"30.00,0.3204,9.4867"
"31.00,0.3341,9.6996"
"32.00,0.3482,9.9182"
"33.00,0.3636,10.1913"
"34.00,0.3757,10.2872"
"35.00,0.3911,10.5418"
"36.00,0.4035,10.6365"
"37.00,0.4172,10.7919"
"38.00,0.4294,10.8577"
"39.00,0.4431,11.0021"
"40.00,0.4585,11.2210"
"41.00,0.4706,11.2654"
"42.00,0.4863,11.4876"
"43.00,0.4984,11.5186"
"44.00,0.5138,11.7117"
"45.00,0.5259,11.7316"
"46.00,0.5400,11.8485"
"47.00,0.5521,11.8616"
"48.00,0.5658,11.9557"
"49.00,0.5799,12.0615"
"50.00,0.5920,12.0639"
"51.00,0.6057,12.1479"
"52.00,0.6181,12.1589"
"53.00,0.6336,12.3268"
"54.00,0.6476,12.4072"
"55.00,0.6614,12.4775"
"56.00,0.6751,12.5409"
"57.00,0.6889,12.6034"
"58.00,0.7026,12.6558"
"59.00,0.7167,12.7289"
"60.00,0.7288,12.7003"
"61.00,0.7412,12.6822"
"62.00,0.7563,12.8057"
"63.00,0.7687,12.7823"
"64.00,0.7825,12.8328"
"65.00,0.7949,12.8130"
"66.00,0.8086,12.8596"
"67.00,0.8211,12.8384"
"68.00,0.8361,12.9492"
"69.00,0.8499,12.9915"
"70.00,0.8623,12.9585"
"71.00,0.8761,13.0030"
"72.00,0.8884,12.9694"
"73.00,0.9036,13.0789"
"74.00,0.9159,13.0414"
"75.00,0.9284,13.0138"
"76.00,0.9422,13.0504"
"77.00,0.9546,13.0196"
"78.00,0.9683,13.0559"
"79.00,0.9805,13.0085"
"80.00,0.9942,13.0453"
"81.00,1.0066,13.0149"
"82.00,1.0204,13.0513"
"83.00,1.0358,13.1678"
"84.00,1.0479,13.1177"
"85.00,1.0619,13.1597"
"86.00,1.0738,13.0965"
"87.00,1.0877,13.1395"
"88.00,1.1016,13.1756"
"89.00,1.1123,13.0509"
"90.00,1.1261,13.0885"
"91.00,1.1385,13.0559"
"92.00,1.1523,13.0903"
"93.00,1.1660,13.1230"
"94.00,1.1782,13.0753"
"95.00,1.1907,13.0482"
"96.00,1.2045,13.0837"
"97.00,1.2198,13.1978"
"98.00,1.2324,13.1644"
"99.00,1.2441,13.0952"
"100.00,1.2581,13.1393"
"101.00,1.2839,13.0887"
"102.00,1.2964,13.1276"
"103.00,1.3084,13.0799"
"104.00,1.3213,13.0428"
"105.00,1.3349,13.0156"
"106.00,1.3469,13.0483"
"107.00,1.3607,13.0051"
"108.00,1.3732,13.0421"
"109.00,1.3853,13.0079"
"110.00,1.4011,12.9798"
"111.00,1.4130,13.0994"
"112.00,1.4269,13.0499"
"113.00,1.4393,13.0976"
"114.00,1.4527,13.0515"
"115.00,1.4655,13.0828"
"116.00,1.4773,13.0538"
"117.00,1.4897,13.0031"
"118.00,1.5034,12.9656"
"119.00,1.5159,13.0008"
"120.00,1.5283,12.9854"
"121.00,1.5434,12.9451"
"122.00,1.5542,13.0634"
"123.00,1.5679,12.9373"
"124.00,1.5804,12.9905"
"125.00,1.5938,12.9500"
"126.00,1.6066,12.9861"
"127.00,1.6216,12.9622"
"128.00,1.6341,13.0795"
"129.00,1.6458,13.0346"
"130.00,1.6586,12.9846"
"131.00,1.6723,12.9609"
"132.00,1.6861,13.0127"
"133.00,1.6965,13.0367"
"134.00,1.7106,12.9211"
"135.00,1.7243,12.9696"
"136.00,1.7381,13.0048"
"137.00,1.7522,13.0543"
"138.00,1.7643,13.0927"
"139.00,1.7767,13.0560"
"140.00,1.7901,13.0125"
"141.00,1.8013,13.0452"
"142.00,1.8163,12.9368"
"143.00,1.8288,13.0551"
"144.00,1.8430,13.0221"
"145.00,1.8548,13.0697"
"146.00,1.8686,13.0196"
"147.00,1.8807,13.0524"
"148.00,1.8932,13.0087"
"149.00,1.9088,12.9868"
"150.00,1.9222,13.1017"
"151.00,1.9347,13.1319"
"152.00,1.9472,13.0970"
"153.00,1.9605,13.0606"
"154.00,1.9733,13.0886"
"155.00,1.9870,13.0512"
"156.00,1.9991,13.0968"
"157.00,2.0132,13.0575"
"158.00,2.0265,13.0839"
"159.00,2.0410,13.1249"
"160.00,2.0544,13.1676"
"161.00,2.0665,13.1911"
"162.00,2.0809,13.1469"
"163.00,2.0927,13.1853"
"164.00,2.1068,13.1392"
"165.00,2.1201,13.1618"
"166.00,2.1346,13.1986"
"167.00,2.1463,13.2346"
"168.00,2.1604,13.1859"
"169.00,2.1738,13.2063"
"170.00,2.1866,13.2407"
"171.00,2.1984,13.1962"
"172.00,2.2142,13.1396"
"173.00,2.2276,13.2648"
"174.00,2.2401,13.2757"
"175.00,2.2557,13.2401"
"176.00,2.2674,13.3398"
"177.00,2.2832,13.2855"
"178.00,2.2949,13.3830"
"179.00,2.3093,13.3265"
"180.00,2.3215,13.3597"
"181.00,2.3353,13.3112"
"182.00,2.3486,13.3298"
"183.00,2.3611,13.3373"
"184.00,2.3754,13.2984"
"185.00,2.3885,13.3301"
"186.00,2.4062,13.3414"
"187.00,2.4180,13.5347"
"188.00,2.4321,13.4702"
"189.00,2.4454,13.4772"
"190.00,2.4582,13.4973"
"191.00,2.4717,13.4405"
"192.00,2.4855,13.4533"
"193.00,2.5008,13.4649"
"194.00,2.5135,13.5697"
"195.00,2.5253,13.5064"
"196.00,2.5410,13.4430"
